"ID","Name","Main Media","Collections (All)","Collections (Name)"
"100ccec2-3079-4b0b-8a77-93f8599ffcfd","COLOR EN SPRAY","wix:image://v1/9c9dca_42fc6d052da94bd3b88e6664161f17e3~mv2.jpg/file.jpg#originWidth=890&originHeight=886","/collections/","/collections/COLOR-EN-SPRAY"
"67a7aab4-d0ca-4362-9748-78ac78df1b2e","COLOR GEL JELLY","wix:image://v1/9c9dca_901000754c1047428dcc99aeb823a494~mv2.jpg/file.jpg#originWidth=663&originHeight=695","/collections/","/collections/COLOR-GEL-JELLY"
"64d0a124-1cf7-435c-ab23-e7be36efafae","COLORANTE DE MANTECA PARA CHOCOLATE","wix:image://v1/9c9dca_dbb4f3b4d5f44d5596a9024204f5d92c~mv2.jpg/file.jpg#originWidth=1280&originHeight=720","/collections/","/collections/COLORANTE-DE-MANTECA-PARA-CHOCOLATE"
"1d528f92-21a0-4e18-b3c7-a2852de4f951","COLORANTE EN POLVO HIDROSOLUBLE","wix:image://v1/9c9dca_32422016d2a44b59a26890a977338f46~mv2.jpg/file.jpg#originWidth=350&originHeight=233","/collections/","/collections/COLORANTE-EN-POLVO-HIDROSOLUBLE"
"5cfc1051-e314-4126-a183-3129862d1b24","COLORANTE LIQUIDO","wix:image://v1/9c9dca_addce67ee3d1424bac25c220875e7f57~mv2.jpg/file.jpg#originWidth=322&originHeight=156","/collections/","/collections/COLORANTE-LIQUIDO"
"c262418e-249f-4580-909f-5d32cc62b02f","COLORANTE METALIZADO","wix:image://v1/9c9dca_beee202da6424230a87b9feb5717fcfd~mv2.jpg/file.jpg#originWidth=1280&originHeight=720","/collections/","/collections/COLORANTE-METALIZADO"
"db286f8f-510c-4edf-a9c7-67ad5a6473c3","COLORANTE PARA CHOCOLATE","wix:image://v1/9c9dca_17e30496eb294ca7b65ac12ccafedc55~mv2.jpg/file.jpg#originWidth=1280&originHeight=720","/collections/","/collections/COLORANTE-PARA-CHOCOLATE"
"a6c21b14-f8ee-4efe-88ce-a6918cb40d8a","COLUMNAS Y BANDEJAS","wix:image://v1/9c9dca_ef71267a08084a56996d9d4d5f0b83f9~mv2.jpg/file.jpg#originWidth=900&originHeight=900","/collections/","/collections/COLUMNAS-Y-BANDEJAS"
"faf467df-c518-4285-bab7-93f274caeb1c","CONOS METALICOS","wix:image://v1/9c9dca_86fb0a137d2f413796794d48f039ff41~mv2.jpg/file.jpg#originWidth=3024&originHeight=3024","/collections/","/collections/CONOS-METALICOS"
"cf92d5eb-99f6-4e5d-8b6e-0560395ed458","COPAS","wix:image://v1/6138ec_d5fbc9ecb9704e76b9764b6bc8d3c258~mv2.jpg/file.jpg#originWidth=225&originHeight=225","/collections/","/collections/COPAS"
"69990c74-42e9-4bcd-a2cb-3761f6b74950","CORTADOR ANIMALES","wix:image://v1/9c9dca_0374296826124478810f3a68d264aaf4~mv2.png/file.png#originWidth=748&originHeight=711","/collections/","/collections/CORTADOR-ANIMALES"
"d128ce05-4e63-439d-925f-86a1a15872cb","CORTADOR BABY SHOWER","wix:image://v1/9c9dca_05a5c57fc21746f5b15b63887628c47b~mv2.jpg/file.jpg#originWidth=800&originHeight=778","/collections/","/collections/CORTADOR-BABY-SHOWER"
"0083cb0b-7906-4906-b4cc-2f5934f44312","CORTADOR DIBUJOS ANIMADOS","wix:image://v1/9c9dca_961a18afb383463dbdba8f0e9787ebd5~mv2.png/file.png#originWidth=493&originHeight=261","/collections/","/collections/CORTADOR-DIBUJOS-ANIMADOS"
"475edfb1-f5c2-4537-a956-707982bd1231","CORTADOR FIGURAS GEOMETRICAS","wix:image://v1/9c9dca_011b27277bd2497d917a53578d6f36fc~mv2.jpg/file.jpg#originWidth=299&originHeight=168","/collections/","/collections/CORTADOR-FIGURAS-GEOMETRICAS"
"59d2a2ac-3d32-40f1-bffa-c1ac3b9100d2","CORTADOR FLORES","wix:image://v1/9c9dca_018f2734868248fb911c630a790be594~mv2.jpg/file.jpg#originWidth=1000&originHeight=1000","/collections/","/collections/CORTADOR-FLORES"
"a345b439-7470-4ffe-a8d7-9359ba8895e8","CORTADOR GRADO","wix:image://v1/9c9dca_5b309cd4e09b4ef782ff9a9b6a8ca1fc~mv2.jpg/file.jpg#originWidth=350&originHeight=308","/collections/","/collections/CORTADOR-GRADO"
"62a52484-d1d3-4ac4-a5b1-5d75e63386ae","CORTADOR HALLOWEN","wix:image://v1/9c9dca_135b546946a54df78054f2eae0a608e6~mv2.jpg/file.jpg#originWidth=275&originHeight=183","/collections/","/collections/CORTADOR-HALLOWEN"
"ed291905-63b8-48e0-904b-3f3417cdc42f","CORTADOR LETRAS Y NUMEROS","wix:image://v1/9c9dca_4d0e94af86c943a0b61fdc50250b2e45~mv2.jpg/file.jpg#originWidth=500&originHeight=170","/collections/","/collections/CORTADOR-LETRAS-Y-NUMEROS"
"8a347f0b-7004-4a3e-b44d-85bb4777efd9","CORTADOR NAVIDEÑO","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/CORTADOR-NAVIDE%C3%91O"
"7dbaa23e-4440-46eb-a082-1b3f5e191d76","CORTADOR PRIMERA COMUNIÓN","wix:image://v1/9c9dca_a83bc1ee6e714f758351b652dc86262b~mv2.jpg/file.jpg#originWidth=477&originHeight=300","/collections/","/collections/CORTADOR-PRIMERA-COMUNI%C3%93N"
"637361e0-ae42-4cc2-92eb-0dd52e58b0fd","CORTADOR SAN VALENTIN","wix:image://v1/9c9dca_fd7d305bf2d2413085439818eac7cafa~mv2.jpg/file.jpg#originWidth=800&originHeight=503","/collections/","/collections/CORTADOR-SAN-VALENTIN"
"de11fd7b-d751-4506-88d9-8e91e7960f3d","CORTADOR SET","wix:image://v1/9c9dca_42d8c33fe2e4422ab0703726d2b6b587~mv2.jpg/file.jpg#originWidth=522&originHeight=536","/collections/","/collections/CORTADOR-SET"
"1defba94-a7e0-46b4-a374-f01c6f376cef","CORTADOR SUPER HERO","wix:image://v1/9c9dca_d1016d38e90c4f0b821f76e737a01211~mv2.jpg/file.jpg#originWidth=350&originHeight=233","/collections/","/collections/CORTADOR-SUPER-HERO"
"e7fde43a-3dab-4a9c-870a-6750de1efe2f","CORTADOR VARIOS","wix:image://v1/9c9dca_315b2000e7d045acb43e4ac5251ab54a~mv2.png/file.png#originWidth=900&originHeight=554","/collections/","/collections/CORTADOR-VARIOS"
"ad182547-9a62-422b-912a-e75797531668","CREMAS","wix:image://v1/9c9dca_5fec49870583485d9950059730c154a4~mv2.jpg/file.jpg#originWidth=275&originHeight=183","/collections/","/collections/CREMAS"
"eb2b4d9f-1212-48e0-a93c-7ff16bad13cb","CRIMPERS","wix:image://v1/9c9dca_daf26d615c5a44ed8bf314bf5fbbf376~mv2.jpg/file.jpg#originWidth=1510&originHeight=1510","/collections/","/collections/CRIMPERS"
"f2c04313-cddd-4a64-9007-5ce6f0672b5c","CUCHILLO Y BISTURI","wix:image://v1/9c9dca_57a86beb89b84bb6ada6abff1331906b~mv2.jpg/file.jpg#originWidth=650&originHeight=650","/collections/","/collections/CUCHILLO-Y-BISTURI"
"c5452cb6-0f5b-44d7-92f2-a64355b25ac8","DECORACION DE PASTELERIA","wix:image://v1/9c9dca_f73d14f5f8b3406f8cab99ee3f6c3010~mv2.png/file.png#originWidth=750&originHeight=750","/collections/","/collections/DECORACION-DE-PASTELERIA"
"922dcc35-10f1-5a22-2cd8-e4c51297f836","Difuntos y Halloween","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/Difuntos-y-Halloween"
"dd5e68c2-0da3-455e-846c-6e235544fdf5","DISPENSADOR Y DUYA","wix:image://v1/9c9dca_2f7c7d27784e4f7cb721b0bed9066f41~mv2.jpg/file.jpg#originWidth=350&originHeight=350","/collections/","/collections/DISPENSADOR-Y-DUYA"
"af3abe47-c305-0394-2c23-9e784ebaaef8","Día del niño","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/D%C3%ADa-del-ni%C3%B1o"
"12ebca96-442f-543e-ed84-ed3eecbf1dc0","Día del Padre","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/D%C3%ADa-del-Padre"
"640d09c6-46b3-4215-abec-0467f030a0c1","ENCAJES COMESTIBLES","wix:image://v1/9c9dca_3c20ec0093fe4cb9897a4e38323464b6~mv2.jpg/file.jpg#originWidth=1280&originHeight=720","/collections/","/collections/ENCAJES-COMESTIBLES"
"633e6e55-51a9-4096-afac-c848040420ad","ENVASES PARA CUPCAKES","wix:image://v1/9c9dca_70af1ee3a1494ee0821a9fdc3a8979d9~mv2.jpg/file.jpg#originWidth=214&originHeight=147","/collections/","/collections/ENVASES-PARA-CUPCAKES"
"3245b6c9-0f2e-4f8c-a7a5-7bb06ad7d8a2","ESENCIA","wix:image://v1/6138ec_4368e1e225b34b1bb69e3a25e791de4e~mv2.jpeg/file.jpg#originWidth=1080&originHeight=1013","/collections/","/collections/ESENCIA"
"ca074c99-ce21-c0a6-e619-169dd1338b93","ESTUCHE PLASTICO PARA CHOCOLATE","wix:image://v1/9c9dca_94fdccce96ba4c42b5519cc25879094b~mv2.jpg/file.jpg#originWidth=1971&originHeight=1973","/collections/","/collections/ESTUCHE-PLASTICO-PARA-CHOCOLATE"
"f2aeb4ec-0688-4a93-8f3c-a67d35121e5d","EXPULSADORES","wix:image://v1/9c9dca_16233b30ce024e35874a6f43dd6d7cca~mv2.jpg/file.jpg#originWidth=297&originHeight=318","/collections/","/collections/EXPULSADORES"
"aa2acf94-63c8-47ff-b177-c59ed704851b","FALDITA PARA CUPCAKES","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/FALDITA-PARA-CUPCAKES"
"d7e22c2d-6f25-459e-b6b1-3c4d716da9e1","FIN DE AÑO Y NAVIDAD","wix:image://v1/46deb5bdc1d3414885b363bc10ab35ee.jpg/file.jpg#originWidth=4000&originHeight=2670","/collections/","/collections/FIN-DE-A%C3%91O-Y-NAVIDAD"
"81bd4733-ba77-4c92-bf63-af38a145f165","FLORAL","wix:image://v1/6138ec_c99e030d865d490fae831aa27871790c~mv2.png/file.png#originWidth=900&originHeight=510","/collections/","/collections/FLORAL"
"b7890d49-b42d-4380-a761-58636e030955","FONDANT Y PASTA DE GOMA","wix:image://v1/9c9dca_a52c236563084bc28a82767bc939cce1~mv2.jpg/file.jpg#originWidth=350&originHeight=332","/collections/","/collections/FONDANT-Y-PASTA-DE-GOMA"
"c5c8fd0c-e430-4d49-9fee-b8ec24ac3ce3","FRUTOS SECOS","wix:image://v1/9c9dca_d7a4204a0d4d4ec7b07d4709fe71ff20~mv2.jpg/file.jpg#originWidth=480&originHeight=320","/collections/","/collections/FRUTOS-SECOS"
"c13aa2bb-f5d3-463d-93ed-d9138c9f8de9","GELATINA","wix:image://v1/9c9dca_0be055791d2f4ab5a77e06d964df3de8~mv2.jpg/file.jpg#originWidth=910&originHeight=607","/collections/","/collections/GELATINA"
"65340df7-14a1-cea8-56bf-270ecff70af9","GRAGEAS EXTRAFINAS 1mm","wix:image://v1/6138ec_5de0257d40c44c86b04ca278a9caace1~mv2.jpg/file.jpg#originWidth=240&originHeight=240","/collections/","/collections/GRAGEAS-EXTRAFINAS-1mm"
"465f32e8-f902-4ad7-9533-1da3375b2313","GRAGEAS EXTRAGRANDES 10mm","wix:image://v1/9c9dca_84d03178664f4569a6af100adaf0f844~mv2.jpg/file.jpg#originWidth=900&originHeight=900","/collections/","/collections/GRAGEAS-EXTRAGRANDES-10mm"
"de8fa3a0-8df1-4dff-854c-a0d2ebfbd2b5","GRAGEAS FINAS 2mm","wix:image://v1/9c9dca_d87f5610802b48eab39c13b246857907~mv2.jpg/file.jpg#originWidth=462&originHeight=372","/collections/","/collections/GRAGEAS-FINAS-2mm"
"e2824398-22e4-4a0e-9441-02ab584490e5","GRAGEAS GRANDES 7mm","wix:image://v1/9c9dca_e3c2480080294c2aa57f19053d761acb~mv2.jpg/file.jpg#originWidth=259&originHeight=194","/collections/","/collections/GRAGEAS-GRANDES-7mm"
"6c8101b2-0ce9-4c9c-8d62-c5016f92f107","GRAGEAS MEDIANAS 5mm","wix:image://v1/9c9dca_e8099e3ac05f4b5b95092cacd921a8d3~mv2.jpg/file.jpg#originWidth=481&originHeight=320","/collections/","/collections/GRAGEAS-MEDIANAS-5mm"
"44075c48-f3d1-4e43-a015-e5003a114457","GRAGEAS VARIAS","wix:image://v1/9c9dca_50daaa3cc2a4482c8dd95506e6dd1129~mv2.jpg/file.jpg#originWidth=296&originHeight=226","/collections/","/collections/GRAGEAS-VARIAS"
"0072f9bc-d144-482d-86e4-77fcb82780da","GUANTES Y MALLAS","wix:image://v1/9c9dca_f30bbe2e284a471db4f4833a632ebfff~mv2.jpg/file.jpg#originWidth=1185&originHeight=889","/collections/","/collections/GUANTES-Y-MALLAS"
"9042c58d-654b-4f2d-8e42-87d87b1ab9ad","HARINA, LEVADURA Y ANTIMOHO","wix:image://v1/9c9dca_43895730982f416facd256bcfd64aa4b~mv2.jpg/file.jpg#originWidth=4227&originHeight=2763","/collections/","/collections/HARINA%2C-LEVADURA-Y-ANTIMOHO"
"9b9c9ea0-050d-47cc-938e-d71f2a34ee04","HERRAMIENTAS VARIAS","wix:image://v1/9c9dca_6422f7724db54a6dbc922cb308d7e1a7~mv2.jpg/file.jpg#originWidth=250&originHeight=250","/collections/","/collections/HERRAMIENTAS-VARIAS"
"e5ab88af-ffb1-4398-8ce7-6cd6c444512f","HOJAS","wix:image://v1/9c9dca_ac52c0debe494e6fa5785b1d73de231f~mv2.png/file.png#originWidth=432&originHeight=432","/collections/","/collections/HOJAS"
"9e46e4c7-89fb-4e62-aca1-fc72bc691690","IGLESIAS","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/IGLESIAS"
"63a1bbba-3cc2-42a6-a9f3-e68e004f54e5","JUEGOS BOQUILLAS","wix:image://v1/9c9dca_f1dbe0ea84d540739bfcc53360df3e24~mv2.jpg/file.jpg#originWidth=795&originHeight=795","/collections/","/collections/JUEGOS-BOQUILLAS"
"98f15dc8-acdd-4100-b7b3-4198b6f1c49f","LAMINAS","wix:image://v1/9c9dca_309a25d311574839af2ea2a86eb75e53~mv2.jpg/file.jpg#originWidth=238&originHeight=227","/collections/","/collections/LAMINAS"
"6177eafa-f62f-4d36-86b5-a38f2d7096f7","LATAS Y REJILLAS","wix:image://v1/9c9dca_35767b23dc424aab8a582810de5b80bb~mv2.jpg/file.jpg#originWidth=480&originHeight=320","/collections/","/collections/LATAS-Y-REJILLAS"
"3ed50e47-be8b-4fc4-9707-c565a229099e","LICORES","wix:image://v1/7f85bedc450f4e34b35ea4fb8caa5db2.jpg/file.jpg#originWidth=1348&originHeight=899","/collections/","/collections/LICORES"
"2b69dd50-781f-79d1-3a39-6e4ec06f47b7","LIGHT","wix:image://v1/6138ec_5f76cae512424a44a11b152d91a4e2f8~mv2.png/file.png#originWidth=500&originHeight=500","/collections/","/collections/LIGHT"
"0fdab542-0627-e2a5-bd07-9058d63aeb76","Liquidaciones","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/Liquidaciones"
"51c00051-a98a-3d45-6779-08e27de0ff8e","MaBaker","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/MaBaker"
"513c0809-890e-4abc-8a7c-81a5b56f54cd","MALVAVISCO","wix:image://v1/6138ec_72c3b1ec15e34d478f39cb875cc04972~mv2.jpg/file.jpg#originWidth=480&originHeight=360","/collections/","/collections/MALVAVISCO"
"3e3bd0da-41f8-4681-944b-d116eeb04716","MANGAS Y ESPATULAS","wix:image://v1/6138ec_ec407ea00d58492fad2291f8778943a9~mv2.jpg/file.jpg#originWidth=900&originHeight=900","/collections/","/collections/MANGAS-Y-ESPATULAS"
"d58f51cf-1fee-4b28-b438-85b44ed2a47b","MANTECA Y MANTEQUILLA","wix:image://v1/9c9dca_4fbdf635bab24da4b2d4796eaa1c1ae8~mv2.jpg/file.jpg#originWidth=960&originHeight=640","/collections/","/collections/MANTECA-Y-MANTEQUILLA"
"e83acd66-a2bf-4b93-aebc-bfd4038fe7de","MARCADOR","wix:image://v1/6138ec_af18a841339e4108bca67403a0ec6b9b~mv2.jpg/file.jpg#originWidth=900&originHeight=900","/collections/","/collections/MARCADOR"
"7469901d-738b-4959-8a12-947a4976e552","MASAS","wix:image://v1/9c9dca_43895730982f416facd256bcfd64aa4b~mv2.jpg/file.jpg#originWidth=4227&originHeight=2763","/collections/","/collections/MASAS"
"e24b9e4c-4e7b-4690-a852-5ab30a1e5aa1","MATERIALES VARIOS","wix:image://v1/9c9dca_de37a4b88a6940a49646254f019b26fd~mv2.jpg/file.jpg#originWidth=826&originHeight=720","/collections/","/collections/MATERIALES-VARIOS"
"0a82fc89-b722-ae40-70eb-b42dad30851e","MOLDES CUADRADOS","wix:image://v1/6138ec_d571825d39f242a58b7d0c873cde0e76~mv2.jpeg/file.jpg#originWidth=1024&originHeight=1024","/collections/","/collections/MOLDES-CUADRADOS"
"0b2beed1-b91a-46bf-881a-9e6e613bea90","MOLDES DE PLASTICO","wix:image://v1/6138ec_063cc8c28b4544e08793d8fa2ce8c8fa~mv2.png/file.png#originWidth=732&originHeight=536","/collections/","/collections/MOLDES-DE-PLASTICO"
