ID,Variant ID,Product ID,Variant Name,Product Name,Managed Variant,SKU,Stock,Choices,Media,Collections
911062bf-3cfe-498c-a82e-d0a0cb554dcb-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911062bf-3cfe-498c-a82e-d0a0cb554dcb,TELA MAGICA NARANJA COMESTIBLE,TELA MAGICA NARANJA COMESTIBLE,FALSE,7.50639E+12,"{""trackQuantity"":true,""quantity"":23,""inStock"":true}",{},wix:image://v1/10c695_f420dd0029504ccfbd764e3440a613cc~mv2.png/file.png#originWidth=280&originHeight=280,"[""74b8d922-5d9b-9da0-f8fb-5e797a4fd2eb""]"
91145a7b-0145-4e42-14b3-a38b9d2005e7-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,91145a7b-0145-4e42-14b3-a38b9d2005e7,GRAGEA MICKEY COLORES 250GR,GRAGEA MICKEY COLORES 250GR,FALSE,119268,"{""trackQuantity"":true,""quantity"":8,""inStock"":true}",{},wix:image://v1/ec5950_454aa5e3e40245338c5ee34c02885da4~mv2.jpeg/file.jpg#originWidth=3024&originHeight=4032,"[""44075c48-f3d1-4e43-a015-e5003a114457"",""af3abe47-c305-0394-2c23-9e784ebaaef8""]"
91703fca-5288-414a-8941-65b51417fbeb-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,91703fca-5288-414a-8941-65b51417fbeb,ACRÍLICO BODA 011,ACRÍLICO BODA 011,FALSE,7.50639E+12,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}",{},wix:image://v1/10c695_7fdf805aef704771bca1c94a8550814c~mv2.png/file.png#originWidth=390&originHeight=390,"[""cd38491e-488e-4208-97dc-923472e909f8"",""5be7d7fa-d890-6aec-e6f5-c614a6a21d99""]"
91730114-92a4-45d0-a9ee-51f3d927a250-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,91730114-92a4-45d0-a9ee-51f3d927a250,GRAGEA MIKEY ROJO 250GR,GRAGEA MIKEY ROJO 250GR,FALSE,119140,"{""trackQuantity"":true,""quantity"":247,""inStock"":true}",{},wix:image://v1/ec5950_8fe42a3a9d7d4edba7bcfc49b981bf9e~mv2.jpg/file.jpg#originWidth=960&originHeight=1280,"[""44075c48-f3d1-4e43-a015-e5003a114457""]"
91897acd-b837-4b55-8495-216edd5f586c-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,91897acd-b837-4b55-8495-216edd5f586c,MOLDE SILICONA 422,MOLDE SILICONA 422,FALSE,200422,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}",{},wix:image://v1/9c9dca_f5d16af9dc724a16bed1fddca3781fd6~mv2.jpg/file.jpg#originWidth=2557&originHeight=2556,"[""d109036d-7608-42db-8210-e92091178a3a""]"
91c9f66d-64dc-4570-a5b0-6aeab401e8e5-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,91c9f66d-64dc-4570-a5b0-6aeab401e8e5,COLOR SPRAY ORO GUERRERO,COLOR SPRAY ORO GUERRERO,FALSE,7.50225E+12,"{""trackQuantity"":true,""quantity"":11,""inStock"":true}",{},wix:image://v1/6138ec_b618c0ee05664296bee7512c80a9b279~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""100ccec2-3079-4b0b-8a77-93f8599ffcfd"",""51c00051-a98a-3d45-6779-08e27de0ff8e""]"
9224e629-cc53-4aa1-9ada-91a89c35c724-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9224e629-cc53-4aa1-9ada-91a89c35c724,LISTON DIAMANTADO ROSA 2cm ANCHO 840cm LARGO,LISTON DIAMANTADO ROSA 2cm ANCHO 840cm LARGO,FALSE,7.50639E+12,"{""trackQuantity"":true,""quantity"":41,""inStock"":true}",{},wix:image://v1/9c9dca_dc3122e7fb3748d294eb0f0a7a00fe77~mv2.jpg/file.jpg#originWidth=2283&originHeight=2284,"[""835f9044-e7bb-400f-a907-76fd163e52a8""]"
926c18db-5aeb-4009-8ef3-27f8fafa5a0a-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,926c18db-5aeb-4009-8ef3-27f8fafa5a0a,SET 353 TRIÁNGULOS,SET 353 TRIÁNGULOS,FALSE,200353,"{""trackQuantity"":true,""quantity"":13,""inStock"":true}",{},wix:image://v1/6138ec_500035b92ac147d5bf17d76a43e9a568~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""de11fd7b-d751-4506-88d9-8e91e7960f3d""]"
929a6c4c-7293-4b63-a101-de23e47c6d64-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,929a6c4c-7293-4b63-a101-de23e47c6d64,MANI MOLIDO 1L,MANI MOLIDO 1L,FALSE,230,"{""trackQuantity"":true,""quantity"":18,""inStock"":true}",{},wix:image://v1/10c695_d9cd3ca98d7a4f1ea912eac41a090d2a~mv2.png/file.png#originWidth=230&originHeight=230,"[""c5c8fd0c-e430-4d49-9fee-b8ec24ac3ce3""]"
929c6d07-2df1-4fea-93fa-2e859d31c711-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,929c6d07-2df1-4fea-93fa-2e859d31c711,MAQUINA DE FONDUE,MAQUINA DE FONDUE,FALSE,142892,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}",{},wix:image://v1/f87be6_3d76a374aa734bbeab7d29e42028c0d5~mv2.jpg/file.jpg#originWidth=800&originHeight=800,"[""5a71a3b5-0a6b-4499-a6a2-6e89c875e7df""]"
92d25936-4292-4313-b826-a1604f4e544e-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,92d25936-4292-4313-b826-a1604f4e544e,CORTADOR CASA JENGIBRE,CORTADOR CASA JENGIBRE,FALSE,200417,"{""trackQuantity"":true,""quantity"":110,""inStock"":true}",{},wix:image://v1/6138ec_5c819b698ce24f71ac8f30e6aaf9d239~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""d7e22c2d-6f25-459e-b6b1-3c4d716da9e1"",""8a347f0b-7004-4a3e-b44d-85bb4777efd9"",""e7fde43a-3dab-4a9c-870a-6750de1efe2f""]"
92e2102b-e9d2-4c9e-bf5b-971b6ca2dfdf-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,92e2102b-e9d2-4c9e-bf5b-971b6ca2dfdf,PASTA DE GOMA BLANCA 500g,PASTA DE GOMA BLANCA 500g,FALSE,436,"{""trackQuantity"":true,""quantity"":47,""inStock"":true}",{},wix:image://v1/ec5950_46475445994b48a587619d0604efdb6a~mv2.jpg/file.jpg#originWidth=2835&originHeight=3543,"[""b7890d49-b42d-4380-a761-58636e030955""]"
932c30a9-42d2-4b49-b714-de883028d139-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,932c30a9-42d2-4b49-b714-de883028d139,MOLDE DE POLICARBONATO 721,MOLDE DE POLICARBONATO 721,FALSE,200721,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}",{},wix:image://v1/9c9dca_6377f19c58494875a034ef844c25fe8e~mv2.jpg/file.jpg#originWidth=600&originHeight=600,"[""3a0ac8fe-d7e5-4a2f-8f8a-767ab9d38630""]"
935d63ba-13ed-4798-bfde-83017f3d7389-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,935d63ba-13ed-4798-bfde-83017f3d7389,MOLDE DE SILICONA CORAZON Y CORAZONCITO,MOLDE DE SILICONA CORAZON Y CORAZONCITO,FALSE,200157,"{""trackQuantity"":true,""quantity"":120,""inStock"":true}",{},wix:image://v1/ec5950_216b0e16e9bd408aba04eb59c595eb63~mv2.jpg/file.jpg#originWidth=682&originHeight=682,"[""d109036d-7608-42db-8210-e92091178a3a""]"
93825c89-533e-43cc-be7b-378ad31910bf-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,93825c89-533e-43cc-be7b-378ad31910bf,ESENCIA COCO 30mL,ESENCIA COCO 30mL,FALSE,7.89701E+12,"{""trackQuantity"":true,""quantity"":247,""inStock"":true}",{},wix:image://v1/edc435_3e7ec26b8b90475fa8b0f612d6c5a840~mv2.jpg/file.jpg#originWidth=1176&originHeight=1500,"[""3245b6c9-0f2e-4f8c-a7a5-7bb06ad7d8a2""]"
938872e8-771b-4b53-a4cc-fed4fc1b043a-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,938872e8-771b-4b53-a4cc-fed4fc1b043a,CORTADOR N. GALLETERO PARA TAZA,CORTADOR N. GALLETERO PARA TAZA,FALSE,110329,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}",{},wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500,"[""e7fde43a-3dab-4a9c-870a-6750de1efe2f""]"
9401def7-070e-4c0b-9de4-15295c831ace-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9401def7-070e-4c0b-9de4-15295c831ace,BANDEJA COLOMBIANA CUADRADA #3,BANDEJA COLOMBIANA CUADRADA #3,FALSE,426,"{""trackQuantity"":true,""quantity"":118,""inStock"":true}",{},wix:image://v1/9c9dca_48b43e845a154a64a277ca497efcc17d~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""a6c21b14-f8ee-4efe-88ce-a6918cb40d8a""]"
9445d2cd-4ccf-453c-b435-e414c90f11e5-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9445d2cd-4ccf-453c-b435-e414c90f11e5,CORTADOR N. PALOMA,CORTADOR N. PALOMA,FALSE,1600936,"{""trackQuantity"":true,""quantity"":22,""inStock"":true}",{},wix:image://v1/6138ec_37d74a6f5d11457585e3b25271cd3b57~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""69990c74-42e9-4bcd-a2cb-3761f6b74950""]"
948dc931-087a-41dc-8d9e-abb68a4e7498-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,948dc931-087a-41dc-8d9e-abb68a4e7498,CAJA PAST ESTRELLA NAVIDEÑA,CAJA PAST ESTRELLA NAVIDEÑA,FALSE,1900060,"{""trackQuantity"":true,""quantity"":19,""inStock"":true}",{},wix:image://v1/6138ec_b17b13274a0c4f83ad0ea0c9550b7e5d~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""af011547-dcd9-4f41-889b-81e26d9f0954""]"
94947229-eaec-4ef6-a655-e4a8ef7e0eb5-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,94947229-eaec-4ef6-a655-e4a8ef7e0eb5,GRAGEA CORAZON DORADO GRANDE 250g,GRAGEA CORAZON DORADO GRANDE 250g,FALSE,119165,"{""trackQuantity"":true,""quantity"":56,""inStock"":true}",{},wix:image://v1/ec5950_b80d50086e024640acc4bdffd0cc88d2~mv2.jpeg/file.jpg#originWidth=960&originHeight=1280,"[""44075c48-f3d1-4e43-a015-e5003a114457"",""8da329dc-8ca1-cb7d-9a5a-9427636ab56b""]"
94c53e05-a5a9-40f0-ac0e-ee035966d7d0-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,94c53e05-a5a9-40f0-ac0e-ee035966d7d0,LÁMINA TRANSFER PARA GELATINA 05-16,LÁMINA TRANSFER PARA GELATINA 05-16,FALSE,10798,"{""trackQuantity"":true,""quantity"":10,""inStock"":true}",{},wix:image://v1/9c9dca_39c8eef5e0444c8e9c4db635c87ffc90~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""437dcb04-a6ab-47ee-8d65-3c07c5d3a98e""]"
94f72d12-4dbe-4a69-a86f-2a13d23e584b-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,94f72d12-4dbe-4a69-a86f-2a13d23e584b,CORTADOR JENGIBRE CON ROPA PLASTICO,CORTADOR JENGIBRE CON ROPA PLASTICO,FALSE,200645,"{""trackQuantity"":true,""quantity"":18,""inStock"":true}",{},wix:image://v1/6138ec_8b8b0961a4774ed7983367e01b8da704~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""8a347f0b-7004-4a3e-b44d-85bb4777efd9""]"
9504e06b-3770-4326-981c-9beff8e08c27-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9504e06b-3770-4326-981c-9beff8e08c27,ENCAJE FRANCÉS 95 DORADO 5 UNIDADES,ENCAJE FRANCÉS 95 DORADO 5 UNIDADES,FALSE,141311,"{""trackQuantity"":true,""quantity"":4,""inStock"":true}",{},wix:image://v1/9c9dca_18c30df05c444351b53ea5c9e50042a1~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""640d09c6-46b3-4215-abec-0467f030a0c1"",""7f022f7c-1e69-ed9f-7427-f68a2a456719""]"
9579536e-51ed-4870-8b8b-f49ef302c30d-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9579536e-51ed-4870-8b8b-f49ef302c30d,ENCAJE FRANCÉS 159 BLANCO 6 UNIDADES,ENCAJE FRANCÉS 159 BLANCO 6 UNIDADES,FALSE,10784,"{""trackQuantity"":true,""quantity"":4,""inStock"":true}",{},wix:image://v1/9c9dca_05a9bf4751dc4fa8b6217c147c1bb95f~mv2.jpg/file.jpg#originWidth=733&originHeight=733,"[""640d09c6-46b3-4215-abec-0467f030a0c1"",""7f022f7c-1e69-ed9f-7427-f68a2a456719""]"
958ddf01-a40c-ca20-7a2e-488c8a715dd8-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,958ddf01-a40c-ca20-7a2e-488c8a715dd8,ESTUCHE CORAZON,ESTUCHE CORAZON,FALSE,912,"{""trackQuantity"":true,""quantity"":114,""inStock"":true}",{},wix:image://v1/9c9dca_c1c7d521c2a848e888e5e0da1e5bf246~mv2.jpg/file.jpg#originWidth=1873&originHeight=1873,"[""ca074c99-ce21-c0a6-e619-169dd1338b93"",""8da329dc-8ca1-cb7d-9a5a-9427636ab56b""]"
95998ed1-7457-48a8-94f9-ada33607d984-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,95998ed1-7457-48a8-94f9-ada33607d984,COPA 143,COPA 143,FALSE,200143,"{""trackQuantity"":true,""quantity"":42,""inStock"":true}",{},wix:image://v1/9c9dca_c0609f40a80b43e28ef5ea42003346f0~mv2.jpg/file.jpg#originWidth=2271&originHeight=2270,"[""cf92d5eb-99f6-4e5d-8b6e-0560395ed458"",""922dcc35-10f1-5a22-2cd8-e4c51297f836"",""5f74daa2-ed52-af76-ea11-0ff8e2f6a89a""]"
95a47e82-467f-4bd2-9d1c-d8b1826b4e4e-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,95a47e82-467f-4bd2-9d1c-d8b1826b4e4e,TERMOMÉTRO LASER,TERMOMÉTRO LASER,FALSE,300597,"{""trackQuantity"":true,""quantity"":3,""inStock"":true}",{},wix:image://v1/6138ec_f0726292f16548c08546c270c890045c~mv2.jpg/file.jpg#originWidth=3191&originHeight=3191,"[""42cdcddc-6e1d-408b-a7d4-879ce2dcebb9""]"
